date,metric_name,chain_name,sum_of_usdt
2022-10-21,sum of usdt,statemine,3499999.68
2022-10-21,sum of usdt,statemint,2999978.8816
2022-10-20,sum of usdt,statemine,3499999.68
2022-10-20,sum of usdt,statemint,2999978.8816
2022-10-19,sum of usdt,statemine,3499999.68
2022-10-19,sum of usdt,statemint,2999978.8816
2022-10-18,sum of usdt,statemine,3499999.68
2022-10-18,sum of usdt,statemint,2999978.8816
2022-10-17,sum of usdt,statemine,3499999.68
2022-10-17,sum of usdt,statemint,2999978.8816
2022-10-16,sum of usdt,statemine,3499999.68
2022-10-16,sum of usdt,statemint,2999980.2816
2022-10-15,sum of usdt,statemine,3499999.68
2022-10-15,sum of usdt,statemint,2999980.2816
2022-10-14,sum of usdt,statemine,3499999.68
2022-10-14,sum of usdt,statemint,2999980.2816
2022-10-13,sum of usdt,statemine,3499999.68
2022-10-13,sum of usdt,statemint,2999980.2816
2022-10-12,sum of usdt,statemine,3499999.68
2022-10-12,sum of usdt,statemint,2999980.2816
2022-10-11,sum of usdt,statemine,3499999.68
2022-10-11,sum of usdt,statemint,2999980.2816
2022-10-10,sum of usdt,statemine,3499999.68
2022-10-10,sum of usdt,statemint,2999980.2816
2022-10-09,sum of usdt,statemine,3499999.68
2022-10-09,sum of usdt,statemint,2999980.8816
2022-10-08,sum of usdt,statemine,3499999.68
2022-10-08,sum of usdt,statemint,2999983.89
2022-10-07,sum of usdt,statemine,3499999.68
2022-10-07,sum of usdt,statemint,2999984.89
2022-10-06,sum of usdt,statemine,3499999.68
2022-10-06,sum of usdt,statemint,2999984.89
2022-10-05,sum of usdt,statemine,3499999.68
2022-10-05,sum of usdt,statemint,2999984.89
2022-10-04,sum of usdt,statemine,3499999.68
2022-10-04,sum of usdt,statemint,2999984.89
2022-10-03,sum of usdt,statemine,3499999.68
2022-10-03,sum of usdt,statemint,2999986.89
2022-10-02,sum of usdt,statemine,3499999.68
2022-10-02,sum of usdt,statemint,2999987.89
2022-10-01,sum of usdt,statemine,3499999.68
2022-10-01,sum of usdt,statemint,3000001
2022-09-30,sum of usdt,statemine,3499999.68
2022-09-30,sum of usdt,statemint,3000001
2022-09-29,sum of usdt,statemine,3499999.68
2022-09-29,sum of usdt,statemint,3000001
2022-09-28,sum of usdt,statemine,3499999.68
2022-09-28,sum of usdt,statemint,3000001
2022-09-27,sum of usdt,statemine,3499999.68
2022-09-27,sum of usdt,statemint,3000001
2022-09-26,sum of usdt,statemine,3499999.68
2022-09-26,sum of usdt,statemint,3000001
2022-09-25,sum of usdt,statemine,3499999.68
2022-09-25,sum of usdt,statemint,3000001
2022-09-24,sum of usdt,statemine,3499999.68
2022-09-24,sum of usdt,statemint,3000001
2022-09-23,sum of usdt,statemine,3499999.68
2022-09-23,sum of usdt,statemint,1
2022-09-22,sum of usdt,statemine,3499999.68
2022-09-22,sum of usdt,statemint,1
2022-09-21,sum of usdt,statemine,3499999.68
2022-09-21,sum of usdt,statemint,1
2022-09-20,sum of usdt,statemine,3499999.68
2022-09-20,sum of usdt,statemint,1
2022-09-19,sum of usdt,statemine,3499999.68
2022-09-19,sum of usdt,statemint,1
2022-09-18,sum of usdt,statemine,3499999.68
2022-09-18,sum of usdt,statemint,1
2022-09-17,sum of usdt,statemine,3499999.68
2022-09-17,sum of usdt,statemint,1
2022-09-16,sum of usdt,statemine,3499999.68
2022-09-16,sum of usdt,statemint,1
2022-09-15,sum of usdt,statemine,3499999.68
2022-09-15,sum of usdt,statemint,1
2022-09-14,sum of usdt,statemine,3499999.68
2022-09-14,sum of usdt,statemint,1
2022-09-13,sum of usdt,statemine,3499999.68
2022-09-13,sum of usdt,statemint,1
2022-09-12,sum of usdt,statemine,3499999.68
2022-09-12,sum of usdt,statemint,1
2022-09-11,sum of usdt,statemine,3499999.68
2022-09-11,sum of usdt,statemint,1
2022-09-10,sum of usdt,statemine,3499999.68
2022-09-10,sum of usdt,statemint,1
2022-09-09,sum of usdt,statemine,3499999.68
2022-09-09,sum of usdt,statemint,1
2022-09-08,sum of usdt,statemine,3499999.68
2022-09-08,sum of usdt,statemint,1
2022-09-07,sum of usdt,statemine,3499999.68
2022-09-07,sum of usdt,statemint,1
2022-09-06,sum of usdt,statemine,3499999.68
2022-09-06,sum of usdt,statemint,1
2022-09-05,sum of usdt,statemine,3499999.68
2022-09-05,sum of usdt,statemint,1
2022-09-04,sum of usdt,statemine,3499999.68
2022-09-04,sum of usdt,statemint,1
2022-09-03,sum of usdt,statemine,3499999.68
2022-09-03,sum of usdt,statemint,1
2022-09-02,sum of usdt,statemine,3499999.68
2022-09-02,sum of usdt,statemint,1
2022-09-01,sum of usdt,statemine,3499999.68
2022-09-01,sum of usdt,statemint,1
