date,metric_name,chain_name,sum_of_usdt
2023-05-25,sum of usdt,statemint,17998761.648064
2023-05-24,sum of usdt,statemine,3499755.734645
2023-05-24,sum of usdt,statemint,7998761.648064
2023-05-23,sum of usdt,statemine,3499755.734645
2023-05-23,sum of usdt,statemint,7998761.668485
2023-05-22,sum of usdt,statemine,3499755.734645
2023-05-22,sum of usdt,statemint,7998761.668485
2023-05-21,sum of usdt,statemine,3499755.734645
2023-05-21,sum of usdt,statemint,7998761.668485
2023-05-20,sum of usdt,statemine,3499755.734645
2023-05-20,sum of usdt,statemint,7998761.668485
2023-05-19,sum of usdt,statemine,3499755.734645
2023-05-19,sum of usdt,statemint,7998761.668485
2023-05-18,sum of usdt,statemine,3499755.734645
2023-05-18,sum of usdt,statemint,7998761.668485
2023-05-17,sum of usdt,statemine,3499755.734645
2023-05-17,sum of usdt,statemint,7998761.668485
2023-05-16,sum of usdt,statemine,3499755.734645
2023-05-16,sum of usdt,statemint,7998761.668485
2023-05-15,sum of usdt,statemine,3499755.734645
2023-05-15,sum of usdt,statemint,7998761.668485
2023-05-14,sum of usdt,statemine,3499755.734645
2023-05-14,sum of usdt,statemint,7998761.668485
2023-05-13,sum of usdt,statemine,3499755.734645
2023-05-13,sum of usdt,statemint,7998761.668485
2023-05-12,sum of usdt,statemine,3499755.734645
2023-05-12,sum of usdt,statemint,7998761.668485
2023-05-11,sum of usdt,statemine,3499755.734645
2023-05-11,sum of usdt,statemint,7998761.668485
2023-05-10,sum of usdt,statemine,3499755.734645
2023-05-10,sum of usdt,statemint,7998761.668485
2023-05-09,sum of usdt,statemine,3499755.734645
2023-05-09,sum of usdt,statemint,7998762.024215
2023-05-08,sum of usdt,statemine,3499755.734645
2023-05-08,sum of usdt,statemint,7998762.024215
2023-05-07,sum of usdt,statemine,3499755.734645
2023-05-07,sum of usdt,statemint,7998762.024215
2023-05-06,sum of usdt,statemine,3499755.734645
2023-05-06,sum of usdt,statemint,7998762.024215
2023-05-05,sum of usdt,statemine,3499755.734645
2023-05-05,sum of usdt,statemint,7998762.324215
2023-05-04,sum of usdt,statemine,3499755.734645
2023-05-04,sum of usdt,statemint,7998762.324215
2023-05-03,sum of usdt,statemine,3499755.734645
2023-05-03,sum of usdt,statemint,7998762.324215
2023-05-02,sum of usdt,statemine,3499755.734645
2023-05-02,sum of usdt,statemint,7998762.644702
2023-05-01,sum of usdt,statemine,3499755.734645
2023-05-01,sum of usdt,statemint,7998762.644702
2023-04-30,sum of usdt,statemine,3499755.734645
2023-04-30,sum of usdt,statemint,7998762.644702
2023-04-29,sum of usdt,statemine,3499755.734645
2023-04-29,sum of usdt,statemint,7998762.644702
2023-04-28,sum of usdt,statemine,3499755.734645
2023-04-28,sum of usdt,statemint,7998762.644702
2023-04-27,sum of usdt,statemine,3499755.734645
2023-04-27,sum of usdt,statemint,7998762.644702
2023-04-26,sum of usdt,statemine,3499755.734645
2023-04-26,sum of usdt,statemint,7998762.644702
2023-04-25,sum of usdt,statemine,3499755.734645
2023-04-25,sum of usdt,statemint,7998762.644702
